url,name,born,died
Mark_Bingham,Mark Bingham,"Mark Kendall Bingham(1970-05-22)May 22, 1970Phoenix, Arizona, U.S.[1]","September 11, 2001(2001-09-11) (aged 31)Stonycreek Township, Pennsylvania, U.S."
Tom_Burnett,Tom Burnett,"Thomas Edward Burnett Jr.(1963-05-29)May 29, 1963Bloomington, Minnesota, U.S.","September 11, 2001(2001-09-11) (aged 38)Somerset County, Pennsylvania, U.S."
Jeremy_Glick,Jeremy Glick,"(1970-09-03)September 3, 1970Saddle River, New Jersey, U.S.","September 11, 2001 (aged 31)Stonycreek Township, Pennsylvania, U.S."
Pat_Tillman,Pat Tillman,"(1976-11-06)November 6, 1976Fremont, California, U.S.","April 22, 2004(2004-04-22) (aged 27)Spera, Khost Province, Afghanistan"
Jim_MacLaren,Jim MacLaren,"(1963-04-13)April 13, 1963St. Louis, Missouri, U.S.","August 31, 2010(2010-08-31) (aged 47)"
Nelson_Mandela,Nelson Mandela,"Rolihlahla Mandela(1918-07-18)18 July 1918Mvezo, South Africa","5 December 2013(2013-12-05) (aged 95)Johannesburg, South Africa"
Pat_Summitt,Pat Summitt,"(1952-06-14)June 14, 1952Clarksville, Tennessee","June 28, 2016(2016-06-28) (aged 64)Knoxville, Tennessee"
Zaevion_Dobson,Zaevion Dobson,"Zaevion William Dobson(2000-06-28)June 28, 2000Knoxville, Tennessee, U.S.","December 17, 2015(2015-12-17) (aged 15)Knoxville, Tennessee, U.S."
Eunice_Kennedy_Shriver,Eunice Kennedy Shriver,"Eunice Mary Kennedy(1921-07-10)July 10, 1921Brookline, Massachusetts, U.S.","August 11, 2009(2009-08-11) (aged 88)Hyannis, Massachusetts, U.S."
George_Rogers_Clark,George Rogers Clark,"(1752-11-19)November 19, 1752Albemarle County, Colony of Virginia","February 13, 1818(1818-02-13) (aged 65)Louisville, Kentucky, US"
Colonel_Sanders,Colonel Sanders,"Harland David Sanders(1890-09-09)September 9, 1890Henryville, Indiana, U.S.","December 16, 1980(1980-12-16) (aged 90)Louisville, Kentucky, U.S."
